Alloy_Name,Alloy_Type,Cu,Al,Ag,B,Be,Ca,Co,Ce,Cr,Fe,Hf,La,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pr,Si,Sn,Ti,V,Zn,Zr,Solid_Solution_Temp_K,Solid_Solution_Time_h,Cold_Rolling_Reduction,Secondary_Treatment_YN,Aging_Temp_K,Aging_Time_h,Secondary_Mech_YN,Hardness_HV,Yield_Strength_MPa,Ultimate_Tensile_Strength_MPa,Electrical_Conductivity_IACS,DOI
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,N,,,N,85.0,,,45.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,673.0,0.25,N,87.0,,,45.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,673.0,0.5,N,88.0,,,47.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,673.0,1.0,N,92.0,,,50.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,673.0,2.0,N,100.0,,,59.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,673.0,4.0,N,112.0,,,74.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,673.0,8.0,N,120.0,,,78.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,673.0,16.0,N,126.0,,,80.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,723.0,0.25,N,101.0,,,55.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,1.0,0.0,Y,723.0,0.5,N,124.0,,,66.0,http://dx.doi.org/10.1016/j.msea.2005.09.118
