Alloy_Name,Alloy_Type,Cu,Al,Ag,B,Be,Ca,Co,Ce,Cr,Fe,Hf,La,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pr,Si,Sn,Ti,V,Zn,Zr,Solid_Solution_Temp_K,Aging_Temp_K,Aging_Time_h,Electrical_Conductivity_IACS
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,673.0,0.25,45.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,673.0,0.5,47.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,673.0,1.0,50.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,673.0,2.0,59.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,673.0,4.0,74.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,673.0,8.0,78.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,673.0,16.0,80.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,723.0,0.25,55.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,723.0,0.5,66.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,723.0,1.0,78.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,723.0,2.0,81.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,723.0,4.0,82.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,723.0,8.0,83.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,723.0,16.0,84.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,823.0,0.25,81.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,823.0,0.5,84.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,823.0,1.0,84.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,823.0,2.0,84.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,823.0,4.0,85.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,823.0,8.0,85.0
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0.0,0.1,0.0,0.0,0,0.0,0.0,0.3,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,823.0,16.0,86.0
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,373.0,1.0,58.0
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,473.0,1.0,59.0
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,523.0,1.0,59.0
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,573.0,1.0,59.0
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,623.0,1.0,61.0
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,673.0,1.0,63.0
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,723.0,1.0,67.0
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,773.0,1.0,78.0
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0.0,0.0,0.0,0.0,0,0.0,0.0,0.1,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,1273.0,823.0,1.0,92.0
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,373.0,1.0,38.0
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,473.0,1.0,37.0
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,523.0,1.0,37.0
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,573.0,1.0,38.0
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,623.0,1.0,39.0
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,673.0,1.0,40.0
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,723.0,1.0,61.0
Cu-0.5Cr-0.08Zr,Cu low alloyed,99.42,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.08,1273.0,773.0,1.0,74.0
