Alloy_Name,Alloy_Type,Cu,Al,Cr,Mg,Ni,Si,Solid_Solution_Temp_K,Aging_Temp_K,Aging_Time_h,Electrical_Conductivity_IACS
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,673,0.25,45
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,673,0.5,47
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,673,1,50
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,673,2,59
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,673,4,74
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,673,8,78
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,673,16,80
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,723,0.25,55
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,723,0.5,66
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,723,1,78
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,723,2,81
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,723,4,82
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,723,8,83
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,723,16,84
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,823,0.25,81
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,823,0.5,84
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,823,1,84
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,823,2,84
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,823,4,85
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,823,8,85
Cu-0.1Ag–0.3Cr,Cu low alloyed,99.6,0,0.3,0,0,0,1223,823,16,86
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0,0.1,0,0,0,1273,373,1,58
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0,0.1,0,0,0,1273,473,1,59
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0,0.1,0,0,0,1273,523,1,59
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0,0.1,0,0,0,1273,573,1,59
Cu-0.1Cr-0.06Zr,Cu low alloyed,99.84,0,0.1,0,0,0,1273,623,1,61
